relative_position,army_value,current_stage,gameloop
0.5617710505121601,1600,early,50880
0.3457745889506191,600,early,51840
0.28146338694980355,7600,early,53040
0.47672989183274467,500,early,58320
0.5485586715524012,1150,early,58560
0.605637458604187,5750,early,60000
0.3451409985003952,9350,early,60960
0.5434405325044351,7600,early,62160
0.3501435281817922,500,early,62400
0.6178413027415324,2725,early,65040
0.49756223891212126,8075,early,65280
0.5053876965174714,10175,early,65520
0.5843199599980721,4850,early,65760
0.762586287029505,3900,early,67440
0.6500028969888084,500,early,69120
0.6262348199424155,2500,early,69840
0.6956087074640501,4575,early,70320
0.7450959876192271,1900,early,70560
0.6590526470789153,1150,early,71040
0.715251388969024,2000,early,71280
0.700943942909505,500,early,71520
0.7219033528990605,1575,early,72000
0.7257790569068098,3100,early,72480
0.7299424068798369,14650,early,72720
0.7212436674265359,13025,early,72960
0.7088381575271845,2550,early,73200
0.05827241777642478,2450,early,11280
0.027383648942735594,1250,early,11760
0.017756543557946147,2075,early,12000
0.02485150529706226,1025,early,12240
0.055545084299664316,3100,early,12960
0.09395781125207436,3000,early,13440
0.11524563494465467,500,early,8400
0.12083031570614933,2400,early,13440
0.02551011890267657,750,early,13680
0.12791341966338288,750,early,13920
0.17267389540712114,2675,early,29040
0.8143089820465954,2450,early,36480
0.8084687541069502,3300,early,36720
0.495909924730373,825,early,36960
0.21684806685939856,1850,early,37920
0.21109350248825892,1000,early,38160
0.20874094692786455,600,early,38400
0.6513570768254973,2700,early,38640
0.3750544409286981,1575,early,39360
0.7236329564398443,3050,early,40560
0.5219752572157829,1675,early,41280
0.7236329564398443,5050,early,41760
0.7586990593334022,2350,early,42000
0.7046218469242483,2200,early,43200
0.6513570768254973,900,early,43440
0.2545461185510993,1000,early,44160
0.119598188353501,1700,early,44880
0.2789547027700887,550,early,45120
0.04585336121917788,1750,early,45600
0.27812595439921894,1000,early,46320
0.7905946253962146,850,early,46560
0.839755596168387,700,early,47040
0.9066623850163801,2425,early,15360
0.11278619940081014,2250,early,16320
0.2920827970585479,2625,early,23280
0.9105536724497085,7775,early,24000
0.8174110535056066,7825,early,24240
0.8841611254714081,6950,early,24480
0.74086080760404,6575,early,24720
0.7527452834738271,3750,early,24960
0.9118663503499705,3975,early,25200
0.5565962088870757,6250,early,25440
0.5264920010148688,5375,early,25680
0.6713178727863016,6775,early,26400
0.6776294801628228,4075,early,26640
0.734928654720784,3225,early,26880
0.09312883449110759,5975,early,27120
0.4486055224766376,5950,early,27840
0.2087948537893452,600,early,47280
0.516901262511783,700,early,51840
0.9425930729656775,700,early,55200
0.7789558820008725,1000,early,56400
0.8523806982748918,1900,early,56640
0.7663302345909792,1900,early,56880
0.9677700806448393,800,early,57120
0.9603042864807447,1000,early,57360
0.6454607457385066,1900,early,57600
0.7256713350941544,800,early,57840
0.7276532662437611,800,early,58080
0.6625654288786301,3750,early,58800
0.7626661510177755,7200,early,59040
0.8745641073584766,10450,early,59520
0.938808913139765,5650,early,59760
0.7079619398129344,7975,early,22320
0.7897543159883466,8000,early,22560
0.21379597647619253,900,early,18240
0.913744763743832,500,early,18480
0.8897562297271819,500,early,18720
0.3269417429054421,4375,early,20880
0.6344237222163174,1750,early,27600
0.9583427654696552,700,early,27840
0.4084850231664887,700,early,28080
0.2601349021099605,600,early,28320
0.24631303354770046,2800,early,28560
0.21904887614765345,3200,early,28800
0.526635235164236,2800,early,29280
0.8305377801069879,3950,early,12000
0.1664881461701645,4200,early,13680
0.8984952962432832,500,early,8160
0.7437338107443139,1400,early,22080
0.5752034585885442,1400,early,22560
0.3630206655054536,1400,early,23520
0.015560493402860531,1400,early,23760
0.5845660587775213,1100,early,24480
0.8734456020141826,2125,early,10320
0.7901390472659886,2875,early,13680
0.8619949167575286,3025,early,20640
0.7978241749432817,3775,early,20880
0.6786144631186181,2925,early,21120
0.7535510826767886,1100,early,21600
0.8624959866305757,600,early,25200
0.21844989525420883,4925,early,26400
0.09234440671414668,3125,early,26640
0.3087655485048459,1775,early,28560
0.5295444941083185,500,early,29040
0.9521705004227834,2300,early,29280
0.9624374432484547,1200,early,29520
0.6408326527823218,1925,early,30480
0.6105808928448461,6300,early,30720
0.6101863581792649,4400,early,30960
0.15456576667463573,1375,early,31200
0.1448332691456895,1775,early,31440
0.2170282492243215,950,early,31680
0.06302758521508411,1275,early,33120
0.9391149331438264,3300,early,14880
0.9082526295194674,3375,early,15120
0.9546166146162258,2900,early,15360
0.9182702593785308,2250,early,15600
0.8991644761914719,1100,early,15840
0.8940900752021672,1725,early,16320
0.13070180732049497,1700,early,17280
0.9203675332038271,2025,early,6720
0.9107991265926314,825,early,6960
0.897379784760261,2350,early,8400
0.9343615749598088,2500,early,8640
0.937645630264828,1750,early,8880
0.945299755376986,1800,early,9120
0.13896913819326318,700,early,10320
0.1551829853127289,700,early,10560
