name,race,matchup,relative_position,army_x,army_y,total_army_value,died_army_value,gameloop
正义的泉水沟,Zerg,TvZ,0.02196190858192515,30,35,1300,375,8640
TIME,Terran,TvZ,0.7296170272537132,96,58,1250,250,8880
正义的泉水沟,Zerg,TvZ,0.02595430888773198,86,27,1000,100,8880
TIME,Terran,TvZ,0.6349511558394187,90,70,400,0,9120
正义的泉水沟,Zerg,TvZ,0.022619275388768734,30,35,50,0,9120
TIME,Terran,TvZ,0.40571784113511844,78,112,600,0,9360
正义的泉水沟,Zerg,TvZ,0.4134617042510093,64,99,175,150,9360
TIME,Terran,TvZ,0.6625441179686243,50,96,975,0,9600
正义的泉水沟,Zerg,TvZ,0.022619275388768734,30,35,575,250,9600
TIME,Terran,TvZ,0.9278380147558416,49,66,450,0,9840
正义的泉水沟,Zerg,TvZ,0.4064905930085031,59,101,450,25,9840
TIME,Terran,TvZ,0.9371883888939571,49,65,1100,0,10080
正义的泉水沟,Zerg,TvZ,0.027268673191878867,85,27,1025,25,10080
TIME,Terran,TvZ,0.9640452553015848,49,62,1725,350,10320
正义的泉水沟,Zerg,TvZ,0.023808755698726203,57,26,2225,1100,10320
TIME,Terran,TvZ,0.8816464197762091,33,53,1100,100,10560
正义的泉水沟,Zerg,TvZ,0.022619275388768734,30,35,1300,300,10560
TIME,Terran,TvZ,0.9572963623075093,26,42,1200,0,10800
正义的泉水沟,Zerg,TvZ,0.022619275388768734,30,35,300,0,10800
TIME,Terran,TvZ,0.7866350955217113,31,77,750,0,11040
正义的泉水沟,Zerg,TvZ,0.09725051850579391,38,50,300,250,11040
TIME,Terran,TvZ,0.14389620178039553,119,124,0,0,11520
正义的泉水沟,Zerg,TvZ,0.025149580344074995,58,26,150,150,11520
TIME,Terran,TvZ,0.8723593816895872,43,68,550,0,11760
正义的泉水沟,Zerg,TvZ,0.04682282327894777,50,63,300,0,11760
TIME,Terran,TvZ,0.9149596085506115,48,66,1875,850,12000
正义的泉水沟,Zerg,TvZ,0.02595430888773198,86,27,2775,1575,12000
TIME,Terran,TvZ,0.6247401606740492,51,93,1475,1075,12240
正义的泉水沟,Zerg,TvZ,0.1852001345090043,45,75,1525,350,12240
TIME,Terran,TvZ,0.820134701909985,104,41,925,325,13200
正义的泉水沟,Zerg,TvZ,0.9416448138855791,80,136,575,125,13200
TIME,Terran,TvZ,0.6384038303960129,107,65,1250,750,13440
正义的泉水沟,Zerg,TvZ,0.27276552265354503,102,56,975,975,13440
TIME,Terran,TvZ,0.09131235563290807,82,133,700,0,13680
正义的泉水沟,Zerg,TvZ,0.032209998233095005,51,56,375,350,13680
TIME,Terran,TvZ,0.7803073806459551,41,91,875,275,14640
正义的泉水沟,Zerg,TvZ,0.9404941218645326,113,108,3050,0,14640
TIME,Terran,TvZ,0.8191988866066059,43,74,1900,50,14880
正义的泉水沟,Zerg,TvZ,0.026497349040382867,29,35,2875,300,14880
TIME,Terran,TvZ,0.07620589844900094,112,107,1700,1500,15120
正义的泉水沟,Zerg,TvZ,0.9307817836149666,113,107,4125,1425,15120
TIME,Terran,TvZ,0.9283394126139649,32,46,1275,250,15360
正义的泉水沟,Zerg,TvZ,0.033785202794561986,51,56,2900,600,15360
TIME,Terran,TvZ,0.9338501445509708,30,43,2075,225,15600
正义的泉水沟,Zerg,TvZ,0.032209998233095005,86,27,3475,1575,15600
TIME,Terran,TvZ,0.945469210068776,46,58,1600,100,15840
正义的泉水沟,Zerg,TvZ,0.9513366230444817,115,108,2900,850,15840
TIME,Terran,TvZ,0.8578582344036295,41,53,1250,200,16080
正义的泉水沟,Zerg,TvZ,0.2215983526967613,47,60,1400,1100,16080
TIME,Terran,TvZ,0.9506645844338298,34,43,1100,250,16320
正义的泉水沟,Zerg,TvZ,0.220775436983368,47,59,1200,200,16320
TIME,Terran,TvZ,0.952965080367876,35,43,1500,900,16560
正义的泉水沟,Zerg,TvZ,0.04635676312884429,36,43,3625,1700,16560
TIME,Terran,TvZ,0.9580145169945777,34,42,1150,350,16800
