outcome,race,collection_rate
loss,Terran,4428
win,Terran,4893
loss,Zerg,5201
win,Zerg,4764
loss,Terran,5710
win,Zerg,5318
loss,Terran,4613
win,Zerg,4747
loss,Terran,3918
win,Terran,4316
loss,Zerg,3638
win,Terran,4680
loss,Zerg,5570
win,Zerg,5122
loss,Terran,4266
win,Zerg,4641
loss,Terran,4378
win,Terran,2524
loss,Zerg,2423
win,Zerg,5430
loss,Terran,3896
win,Terran,4501
loss,Zerg,4428
win,Terran,3174
loss,Zerg,3644
win,Terran,3650
loss,Zerg,3890
win,Terran,4322
loss,Zerg,5167
win,Terran,4854
loss,Zerg,5559
win,Zerg,3756
loss,Terran,3711
win,Zerg,5027
loss,Terran,6125
win,Terran,4114
loss,Zerg,4159
win,Zerg,4075
loss,Terran,3487
win,Zerg,4182
loss,Terran,4344
win,Zerg,6203
loss,Terran,4809
win,Zerg,5845
loss,Terran,4529
win,Terran,3896
loss,Zerg,3980
win,Zerg,5985
loss,Terran,4781
win,Zerg,4590
loss,Terran,3997
win,Zerg,1275
loss,Terran,1701
